runtime,l1_error,l2_error,rel_error
1.074335021972656250e+02,3.590818639179728638e-03,2.164057078427684410e-05,6.678504777503571112e-03
1.160068488121032715e+02,3.621000108334641691e-03,2.029811704207980859e-05,6.843374698459010405e-03
1.097700867652893066e+02,3.544803546945404782e-03,1.989522445936511822e-05,6.354909270585291751e-03
1.141204266548156738e+02,3.545760943434907251e-03,1.970152485030382257e-05,7.484304442023582450e-03
1.046664884090423584e+02,3.408295552007602376e-03,2.018357970512542498e-05,6.166004723706510621e-03
1.091187610626220703e+02,3.922952191604562461e-03,2.295323704500402967e-05,7.200768918488404009e-03
1.102483928203582764e+02,3.834718107682513928e-03,2.129134594378043760e-05,8.011621598290762439e-03
1.152895963191986084e+02,3.431753903245684904e-03,1.918278212088342561e-05,5.692947545189480651e-03
1.042683134078979492e+02,3.747447152623313831e-03,2.221889881040917336e-05,6.912576832245969326e-03
1.120527474880218506e+02,3.665960095861598399e-03,2.201962390725112966e-05,5.654745480499985370e-03
