x, true, terminal, branch
-4.345119850134588901e+00,9.899999999999999911e-01,9.871961121290003804e-01,9.895613789558410645e-01
-4.254814398616718840e+00,9.890652487555628980e-01,9.860029727064100191e-01,9.886754155158996582e-01
-4.164508947098847891e+00,9.880441767261488595e-01,9.847003728654019072e-01,9.873579144477844238e-01
-4.074203495580977830e+00,9.869290184432709667e-01,9.832786054864606218e-01,9.861699938774108887e-01
-3.983898044063106880e+00,9.857113499523791900e-01,9.817271675316652235e-01,9.850903749465942383e-01
-3.893592592545236375e+00,9.843820408132957223e-01,9.800347074361714927e-01,9.836641550064086914e-01
-3.803287141027365870e+00,9.829312041729246774e-01,9.781889715775310412e-01,9.822734594345092773e-01
-3.712981689509495808e+00,9.813481451827287261e-01,9.761767504131926287e-01,9.804727435111999512e-01
-3.622676237991624859e+00,9.796213081313692728e-01,9.739838250313119783e-01,9.787350893020629883e-01
-3.532370786473754798e+00,9.777382227793641745e-01,9.715949150394709299e-01,9.769418835639953613e-01
-3.442065334955883849e+00,9.756854505198706562e-01,9.689936289220262289e-01,9.745975732803344727e-01
-3.351759883438013787e+00,9.734485311500157279e-01,9.661624182310490916e-01,9.724496603012084961e-01
-3.261454431920143282e+00,9.710119312226813681e-01,9.630825372389907324e-01,9.699221849441528320e-01
-3.171148980402272777e+00,9.683589951611754065e-01,9.597340099731224150e-01,9.671310186386108398e-01
-3.080843528884402271e+00,9.654719005601174464e-01,9.560956068708365008e-01,9.642581939697265625e-01
-2.990538077366531766e+00,9.623316193657636131e-01,9.521448336375768484e-01,9.612954258918762207e-01
-2.900232625848661261e+00,9.589178869273926598e-01,9.478579352495533072e-01,9.579856991767883301e-01
-2.809927174330790756e+00,9.552091812362805134e-01,9.432099184124620450e-01,9.543501138687133789e-01
-2.719621722812920250e+00,9.511827150162026623e-01,9.381745961523684230e-01,9.502259492874145508e-01
-2.629316271295049745e+00,9.468144436927308227e-01,9.327246585583763849e-01,9.460210800170898438e-01
-2.539010819777179240e+00,9.420790926379937202e-01,9.268317739961490220e-01,9.411862492561340332e-01
-2.448705368259308734e+00,9.369502074492582766e-01,9.204667253383703729e-01,9.363610148429870605e-01
-2.358399916741438673e+00,9.314002313551654755e-01,9.135995858782308687e-01,9.306370615959167480e-01
-2.268094465223567724e+00,9.254006141288776410e-01,9.061999395641036070e-01,9.249176979064941406e-01
-2.177789013705697663e+00,9.189219570929353376e-01,8.982371499710878338e-01,9.184193611145019531e-01
-2.087483562187827157e+00,9.119341988902208707e-01,8.896806819567912861e-01,9.116102457046508789e-01
-1.997178110669956652e+00,9.044068466267876083e-01,8.805004791809867282e-01,9.041286706924438477e-01
-1.906872659152086147e+00,8.963092567175754422e-01,8.706673995488748430e-01,8.962047696113586426e-01
-1.816567207634215642e+00,8.876109692331816126e-01,8.601537091185267325e-01,8.876487016677856445e-01
-1.726261756116345136e+00,8.782820987011157321e-01,8.489336330592189839e-01,8.782848119735717773e-01
-1.635956304598474631e+00,8.682937831064723166e-01,8.369839598425088401e-01,8.684231042861938477e-01
-1.545650853080604126e+00,8.576186912196861467e-01,8.242846920033195524e-01,8.580101728439331055e-01
-1.455345401562733620e+00,8.462315863213073497e-01,8.108197335718680954e-01,8.466570973396301270e-01
-1.365039950044863115e+00,8.341099418848213487e-01,7.965776007418864380e-01,8.346498608589172363e-01
-1.274734498526992610e+00,8.212346018374266921e-01,7.815521386509236557e-01,8.216600418090820312e-01
-1.184429047009122105e+00,8.075904747029387654e-01,7.657432235044240310e-01,8.080567121505737305e-01
-1.094123595491251599e+00,7.931672473450018801e-01,7.491574259299264016e-01,7.935956120491027832e-01
-1.003818143973381094e+00,7.779601003298829420e-01,7.318086086991133499e-01,7.782981395721435547e-01
-9.135126924555105887e-01,7.619704033288584588e-01,7.137184301294715594e-01,7.621547579765319824e-01
-8.232072409376400834e-01,7.452063657452026035e-01,6.949167239025153542e-01,7.454113960266113281e-01
-7.329017894197695782e-01,7.276836151862995372e-01,6.754417270096373382e-01,7.276542186737060547e-01
-6.425963379018995170e-01,7.094256748365299625e-01,6.553401302878523182e-01,7.093178033828735352e-01
-5.522908863840290117e-01,6.904643105459196128e-01,6.346669306542342959e-01,6.902459859848022461e-01
-4.619854348661585064e-01,6.708397198183287946e-01,6.134850706616428173e-01,6.705435514450073242e-01
-3.716799833482880011e-01,6.506005380674404481e-01,5.918648591791233482e-01,6.507993936538696289e-01
-2.813745318304174958e-01,6.298036425963036145e-01,5.698831764664580302e-01,6.309456229209899902e-01
-1.910690803125465465e-01,6.085137416805328492e-01,5.476224771129766244e-01,6.100848913192749023e-01
-1.007636287946764853e-01,5.868027446542625203e-01,5.251696145623163670e-01,5.877243280410766602e-01
-1.045817727680642406e-02,5.647489185887959451e-01,5.026145204893130991e-01,5.643085241317749023e-01
7.984727424106452531e-02,5.424358474309640687e-01,4.800487803752561122e-01,5.411041975021362305e-01
1.701527257589345865e-01,5.199512196247442208e-01,4.575641525690361533e-01,5.188556313514709473e-01
2.604581772768055359e-01,4.973854795106871229e-01,4.352510814112042770e-01,4.968641698360443115e-01
3.507636287946755971e-01,4.748303854376837441e-01,4.131972553457377018e-01,4.744722247123718262e-01
4.410690803125465465e-01,4.523775228870233756e-01,3.914862583194671508e-01,4.521002173423767090e-01
5.313745318304166076e-01,4.301168235335423029e-01,3.701963574036964966e-01,4.296929836273193359e-01
6.216799833482875570e-01,4.081351408208767628e-01,3.493994619325596629e-01,4.078188836574554443e-01
7.119854348661576182e-01,3.865149293383574047e-01,3.291602801816714274e-01,3.861656486988067627e-01
8.022908863840285676e-01,3.653330693457658152e-01,3.095356894540804982e-01,3.648432791233062744e-01
8.925963379018986288e-01,3.446598697121480148e-01,2.905743251634703705e-01,3.442398905754089355e-01
9.829017894197695782e-01,3.245582729903626618e-01,2.723163848137004628e-01,3.241707384586334229e-01
1.073207240937639639e+00,3.050832760974846458e-01,2.547936342547976185e-01,3.047164082527160645e-01
1.163512692455510589e+00,2.862815698705284406e-01,2.380295966711415412e-01,2.861509323120117188e-01
1.253818143973380650e+00,2.681913913008867612e-01,2.220398996701170580e-01,2.682160139083862305e-01
1.344123595491251599e+00,2.508425740700734874e-01,2.068327526549981199e-01,2.510650753974914551e-01
1.434429047009121660e+00,2.342567764955760801e-01,1.924095252970613457e-01,2.345787584781646729e-01
1.524734498526991722e+00,2.184478613490764554e-01,1.787653981625735300e-01,2.188517749309539795e-01
1.615039950044862671e+00,2.034223992581136731e-01,1.658900581151787623e-01,2.036487311124801636e-01
